"arten","funk","d","f","i","e","dim","model"
"","","Ordentliche Gesamteinnahmen","Recettes ordinaires totales","Entrate ordinarie totali","Total ordinary receipts","ord_einnahmen_funk","fs"
"","0","Allgemeine Verwaltung","Administration générale","Amministrazione generale","General administration","ord_einnahmen_funk","fs"
"","01","Legislative und Exekutive","Législatif et exécutif","Legislativo ed Esecutivo","Executive and legislative organs","ord_einnahmen_funk","fs"
"","02","Allgemeine Dienste","Services généraux","Servizi generali","General services","ord_einnahmen_funk","fs"
"","03","Beziehungen zum Ausland","Relations avec l'étranger","Relazioni con l'estero","International relations","ord_einnahmen_funk","fs"
"","08","F&E in allgemeine Verwaltung","R-D administration générale","R&S materia di amministrazione generale","R&D general services","ord_einnahmen_funk","fs"
"","1","Öffentliche Ordnung und Sicherheit, Verteidigung","Ordre et sécurité publique, défense","Ordine pubblico e sicurezza, difesa","Public order and security, defense","ord_einnahmen_funk","fs"
"","11","Öffentliche Sicherheit","Sécurité publique","Sicurezza pubblica","Public security","ord_einnahmen_funk","fs"
"","12","Rechtssprechung","Justice","Giurisprudenza","Administration of justice","ord_einnahmen_funk","fs"
"","13","Strafvollzug","Exécution des peines","Esecuzione delle pene","Prison system","ord_einnahmen_funk","fs"
"","14","Allgemeines Rechtswesen","Questions juridiques","Diritto generale","General legal issues","ord_einnahmen_funk","fs"
"","15","Feuerwehr","Service du feu","Vigili del fuoco","Fire protection services","ord_einnahmen_funk","fs"
"","16","Verteidigung","Défense","Difesa","Defense","ord_einnahmen_funk","fs"
"","18","F&E in Öffentliche Ordnung und Sicherheit, Verteidigung","R-D ordre et sécurité publique, défense
","R&S in materia di pubblica sicurezza e ordine pubblico, difesa","R&D public order and security, defense","ord_einnahmen_funk","fs"
"","2","Bildung","Formation","Educazione","Education","ord_einnahmen_funk","fs"
"","21","Obligatorische Schule","Ecole obligatoire","Scuola dell'obbligo","Compulsory education","ord_einnahmen_funk","fs"
"","22","Sonderschulen","Ecoles spéciales","Scuole speciali","Special schools","ord_einnahmen_funk","fs"
"","23","Berufliche Grundbildung","Formation professionnelle initiale","Formazione professionale di base","Basic vocational training","ord_einnahmen_funk","fs"
"","25","Allgemeinbildende Schulen","Ecoles de formation générale","Scuole di formazione generale","General education schools","ord_einnahmen_funk","fs"
"","26","Höhere Berufsbildung","Formation professionnelle supérieure","Formazione professionale superiore","Post-secondary vocational education","ord_einnahmen_funk","fs"
"","27","Hochschulen","Hautes écoles","Università","Tertiary-level institutions","ord_einnahmen_funk","fs"
"","28","Forschung","Recherche","Ricerca","Research","ord_einnahmen_funk","fs"
"","29","Übriges Bildungswesen","Autres systèmes éducatifs","Rimanente settore dell'istruzione","Other education","ord_einnahmen_funk","fs"
"","3","Kultur, Sport und Freizeit, Kirche","Culture, sport et loisirs, église","Cultura, sport e ricreazione, religione","Culture, sport and leisure, church","ord_einnahmen_funk","fs"
"","31","Kulturerbe","Héritage culturel","Patrimonio culturale","Cultural heritage","ord_einnahmen_funk","fs"
"","32","Kultur, übrige","Culture, autres","Cultura, altro","Other culture","ord_einnahmen_funk","fs"
"","33","Medien","Médias","Media","Media","ord_einnahmen_funk","fs"
"","34","Sport und Freizeit","Sport et loisirs","Sport e ricreazione","Sporting and recreational services","ord_einnahmen_funk","fs"
"","35","Kirchen und religiöse Angelegenheiten","Eglises et affaires religieuses","Religione e attività religiose","Churches and religious services","ord_einnahmen_funk","fs"
"","38","F&E in Kultur, Sport und Freizeit, Kirche","R-D culture, sport et loisirs, église","R&S in materia di cultura, sport e ricreazione, religione","R&D culture, sport and leisure, church","ord_einnahmen_funk","fs"
"","4","Gesundheit","Santé","Sanità","Health","ord_einnahmen_funk","fs"
"","41","Spitäler, Kranken- und Pflegeheime","Hôpitaux, homes médicalisés","Ospedali e case di cura","Hospital, convalescent and nursing home services","ord_einnahmen_funk","fs"
"","42","Ambulante Krankenpflege","Soins ambulatoires","Cure ambulatoriali","Outpatient care","ord_einnahmen_funk","fs"
"","43","Gesundheitsprävention","Prévention","Prevenzione della salute","Preventive healthcare","ord_einnahmen_funk","fs"
"","48","F&E in Gesundheit","R-D santé","R&S i materia di sanità","R&D health","ord_einnahmen_funk","fs"
"","49","Gesundheitswesen n.a.g.","Santé publique n.c.a.","Sanità n.m.a.","Health n.e.c.","ord_einnahmen_funk","fs"
"","5","Soziale Sicherheit","Sécurité sociale","Sicurezza sociale","Social security","ord_einnahmen_funk","fs"
"","51","Krankheit und Unfall","Maladie et accidents","Malattia e infortunio","Sickness and accident","ord_einnahmen_funk","fs"
"","52","Invalidität","Invalidité","Invalidità","Disability","ord_einnahmen_funk","fs"
"","53","Alter + Hinterlassene","Vieillesse et survivants","Vecchiaia + Superstiti","Old age and survivors","ord_einnahmen_funk","fs"
"","54","Familie und Jugend","Famille et jeunesse","Famiglia e gioventù","Family and young people","ord_einnahmen_funk","fs"
"","55","Arbeitslosigkeit","Chômage","Disoccupazione","Unemployment","ord_einnahmen_funk","fs"
"","56","Sozialer Wohnungsbau","Construction de logements sociaux","Costruzione di abitazioni sociali","Subsidized housing","ord_einnahmen_funk","fs"
"","57","Sozialhilfe und Asylwesen","Aide sociale et domaine de l'asile","Aiuto sociale e settore dell'asilo","Social welfare and asylum affairs","ord_einnahmen_funk","fs"
"","58","F&E in soziale Sicherheit","R-D sécurité sociale","R&S in materia di sicurezza sociale","R&D social welfare","ord_einnahmen_funk","fs"
"","59","Soziale Wohlfahrt n.a.g.","Prévoyance sociale n.c.a.","Previdenza sociale n.m.a.","Social welfare n.e.c.","ord_einnahmen_funk","fs"
"","6","Verkehr und Nachrichtenübermittlung","Trafic et télécommunications","Trasporti e comunicazione","Transportation and telecommunications","ord_einnahmen_funk","fs"
"","61","Strassenverkehr","Circulation routière","Circolazione stradale","Road transportation","ord_einnahmen_funk","fs"
"","62","Öffentlicher Verkehr","Transports publics","Trasporti pubblici","Public transportation","ord_einnahmen_funk","fs"
"","63","Verkehr, übrige","Trafic, autres","Trasporti, altro","Other transportation","ord_einnahmen_funk","fs"
"","64","Nachrichtenübermittlung","Télécommunications","Comunicazione","Telecommunications","ord_einnahmen_funk","fs"
"","68","F&E in Verkehr und Nachrichtenübermittlung","R-D trafic et télécommunications","R&S in materia di trasporti e comunicazione","R&D transportation and telecommunications","ord_einnahmen_funk","fs"
"","7","Umweltschutz und Raumordnung","Protection de l'environnement et aménagement du territoire","Protezione dell'ambiente e assetto del territorio","Protection of the environment and spatial planning","ord_einnahmen_funk","fs"
"","71","Wasserversorgung","Approvisionnement en eau","Approvvigionamento idrico","Water supply","ord_einnahmen_funk","fs"
"","72","Abwasserbeseitigung","Traitement des eaux usées","Eliminazione delle acque di scarico","Sewage disposal","ord_einnahmen_funk","fs"
"","73","Abfallwirtschaft","Gestion des déchets","Gestione dei rifiuti","Waste management","ord_einnahmen_funk","fs"
"","74","Verbauungen","Aménagements","Ripari","Control structures","ord_einnahmen_funk","fs"
"","75","Arten- und Landschaftsschutz","Protection des espèces et du paysage","Protezione delle specie e del paesaggio","Protection of biodiversity and landscape","ord_einnahmen_funk","fs"
"","76","Bekämpfung von Umweltverschmutzung","Lutte contre la pollution de l'environnement","Lotta contro l'inquinamento ambientale","Anti-pollution","ord_einnahmen_funk","fs"
"","77","Übriger Umweltschutz","Protection de l'environnement, autres","Altri tipi di protezione dell'ambiente","Other environmental protection","ord_einnahmen_funk","fs"
"","78","F&E in Umweltschutz","R-D protection de l'environnement","R&S in materia di protezione dell’ambiente ","R&D environmental protection","ord_einnahmen_funk","fs"
"","79","Raumordnung","Aménagement du territoire","Assetto del territorio","Spatial planning","ord_einnahmen_funk","fs"
"","8","Volkswirtschaft","Économie publique","Economia nazionale","National economy","ord_einnahmen_funk","fs"
"","81","Landwirtschaft","Agriculture","Agricoltura","Agriculture","ord_einnahmen_funk","fs"
"","82","Forstwirtschaft","Sylviculture","Silvicoltura","Forestry","ord_einnahmen_funk","fs"
"","83","Jagd und Fischerei","Chasse et pêche","Caccia e pesca","Hunting and fishing","ord_einnahmen_funk","fs"
"","84","Tourismus","Tourisme","Turismo","Tourism","ord_einnahmen_funk","fs"
"","85","Industrie, Gewerbe, Handel","Industrie, artisanat et commerce","Industria, artigianato e commercio","Industry, commerce and trade","ord_einnahmen_funk","fs"
"","86","Banken und Versicherungen","Banques et assurances","Banche e assicurazioni","Banks and insurance companies","ord_einnahmen_funk","fs"
"","87","Brennstoffe und Energie","Combustibles et énergie","Combustibili ed energia","Fuel and energy","ord_einnahmen_funk","fs"
"","88","F&E in Volkswirtschaft","R-D économie publique","R&S in materia di economia nazionale","R&D national economy","ord_einnahmen_funk","fs"
"","89","Sonstige gewerbliche Betriebe","Autres exploitations artisanales","Altre aziende artigianali","Other commercial operations","ord_einnahmen_funk","fs"
"","9","Finanzen und Steuern","Finances et impôts","Finanze e imposte","Finances and taxes","ord_einnahmen_funk","fs"
"","91","Steuern","Impôts","Imposte","Taxes","ord_einnahmen_funk","fs"
"","92","Steuerabkommen","Conventions fiscales","Convenzioni fiscali","Tax agreements","ord_einnahmen_funk","fs"
"","93","Finanz- und Lastenausgleich","Péréquation financière et compensation des charges","Perequazione finanziaria e compensazione degli oneri","Fiscal equalization and cost compensation","ord_einnahmen_funk","fs"
"","94","Ertragsanteile an Bundeseinnahmen ohne Zweckbindung","Parts aux recettes de la Confédération sans affectation","Partecipazioni di ricavi a entrate della Confederazione senza destinazione vincolata","Revenue shares in federal receipts without appropriation","ord_einnahmen_funk","fs"
"","95","Ertragsanteile, übrige, ohne Zweckbindung","Parts de recettes, autres, sans affectation","Partecipazioni di ricavi, altro, senza destinazione vincolata","Other revenue shares without appropriation","ord_einnahmen_funk","fs"
"","96","Vermögens- und Schuldenverwaltung","Administration de la fortune et de la dette","Gestione del patrimonio e del debito","Asset and debt management","ord_einnahmen_funk","fs"
"","97","Rückverteilungen","Redistribution","Ridistribuzioni","Redistribution","ord_einnahmen_funk","fs"
"","99","Nicht aufgeteilte Posten","Postes non ventilables","Voci non attribuite","Undivided items","ord_einnahmen_funk","fs"
