"arten","funk","d","f","i","e","dim","model"
"61","","Vermögensgüter","Actifs non financiers","Attività non finanziarie","Non-financial assets","vermoegen","fs"
"611","","Anlagegüter","Actifs fixes","Capitale fisso","Fixed assets","vermoegen","fs"
"6111","","Hoch- und Tiefbauten","Bâtiments et ouvrages de génie civil","Opere edili e del genio civile","Buildings and structures","vermoegen","fs"
"6112","","Ausrüstungsgüter","Machines et équipement","Impianti e macchinari","Machinery and equipment","vermoegen","fs"
"","","Sonstige Anlagegüter, Waffensysteme","Autres actifs fixes, systèmes d'armes militaires","Altro capitale fisso, armamenti","Other fixed assets, weapons systems","vermoegen","fs"
"612","","Vorräte","Stocks","Scorte","Inventories","vermoegen","fs"
"613","","Wertsachen","Objets de valeur","Oggetti di valore","Valuables","vermoegen","fs"
"614","","Nichtproduzierte Vermögensgüter","Actifs non produits","Attività non prodotte","Nonproduced assets","vermoegen","fs"
"","","Forderungen","Créances","Attività finanziarie","Financial assets","vermoegen","fs"
"620","","Forderungen","Créances ","Attività finanziarie","Domestic & external","vermoegen","fs"
"6201","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6202","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","vermoegen","fs"
"6203","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","vermoegen","fs"
"6204","","Kredite","Crédits ","Prestiti","Loans","vermoegen","fs"
"6205","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","vermoegen","fs"
"6206","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard ","Assicurazioni, pensioni e garanzie standard","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6207","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","vermoegen","fs"
"6208","","Sonstige Forderungen","Autres comptes à recevoir ","Altri conti attivi","Other accounts receivable","vermoegen","fs"
"62081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","vermoegen","fs"
"62082","","Sonstige Forderungen, n.a.g.","Autres comptes à recevoir, n.c.a.","Altri conti attivi, n.m.a.","Miscellaneous other accounts receivable","vermoegen","fs"
"621","","Forderungen, Inland","Créances, intérieur","Conti attivi, interno","Domestic","vermoegen","fs"
"6211","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6212","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","vermoegen","fs"
"6213","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","vermoegen","fs"
"6214","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","vermoegen","fs"
"6215","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","vermoegen","fs"
"6216","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6217","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, interno","Financial derivatives and employee stock options","vermoegen","fs"
"6218","","Sonstige Forderungen, Inland","Autres comptes à recevoir, intérieur","Altri conti attivi, interno","Other accounts receivable","vermoegen","fs"
"62181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","vermoegen","fs"
"62182","","Sonstige Forderungen, n.a.g., Inland","Autres comptes à recevoir, n.c.a., intérieur","Altri conti attivi, n.m.a., interno","Miscellaneous other accounts receivable","vermoegen","fs"
"622","","Forderungen, Ausland","Créances, extérieur","Conti attivi, estero","External","vermoegen","fs"
"6221","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6222","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","vermoegen","fs"
"6223","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","vermoegen","fs"
"6224","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","vermoegen","fs"
"6225","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","vermoegen","fs"
