"arten","funk","d","f","i","e","dim","model"
"1","","Aktiven","Actif","Attivi","Assets","bilanz","fs"
"10","","Finanzvermögen","Patrimoine financier","Beni patrimoniali","Non-administrative assets","bilanz","fs"
"100","","Flüssige Mittel und kurzfristige Geldanlagen","Liquidités et placements à court terme","Liquidità e investimenti di denaro a breve termine","Cash and cash equivalents","bilanz","fs"
"101","","Forderungen","Créances","Crediti","Receivables","bilanz","fs"
"102","","Kurzfristige Finanzanlagen","Placements financiers à court terme","Investimenti finanziari a breve termine","Short-term financial investments","bilanz","fs"
"104","","Aktive Rechnungsabgrenzungen","Comptes de régularisation actifs","Delimitazioni contabili attive","Prepaid expenses and accrued income","bilanz","fs"
"106","","Vorräte und angefangene Arbeiten","Stocks et travaux en cours","Scorte e lavori in corso","Inventories and work in progress","bilanz","fs"
"107","","Langfristige Finanzanlagen","Placements financiers à long terme","Investimenti finanziari a lungo termine","Long-term financial investments","bilanz","fs"
"108","","Sachanlagen, FV","Immobilisations corporelles, PF","Investimenti materiali, beni patrimoniali","Tangible fixed assets, NAA","bilanz","fs"
"109","","Forderungen gegenüber Spezialfinanzierungen und Fonds im Fremdkapital","Créances sur les financements spéciaux et fonds enregistrés sous les capitaux de tiers","Crediti nei confronti di finanziamenti speciali e di fondi nel capitale di terzi","Receivables from special financing and funds in liabilities","bilanz","fs"
"14","","Verwaltungsvermögen","Patrimoine administratif","Beni amministrativi","Administrative assets","bilanz","fs"
"140","","Sachanlagen, VV","Immobilisations corporelles, PA","Investimenti materiali, beni amministrativi","Tangible fixed assets, AA","bilanz","fs"
"141","","Vorräte, VV","Stocks, PA","Scorte, beni amministrativi","Inventories, AA","bilanz","fs"
"142","","Immaterielle Anlagen","Immobilisations incorporelles","Investimenti immateriali","Intangible fixed assets","bilanz","fs"
"143","","Darlehen und Beteiligungen n.a.g.","Prêts et participations n.c.a.","Mutui e partecipazioni n.m.a.","Loans and financial interests n.e.c.","bilanz","fs"
"144","","Darlehen","Prêts","Mutui","Loans","bilanz","fs"
"145","","Beteiligungen, Grundkapitalien","Participations, capital social","Partecipazioni, capitali sociali","Financial interests, share capital","bilanz","fs"
"146","","Investitionsbeiträge","Contributions à des investissements","Contributi agli investimenti","Investment contributions","bilanz","fs"
"147","","Guthaben gegenüber öffentlichen Haushalten","Créances sur les administrations publiques","Averi verso le amministrazioni pubbliche","Assets due from government units","bilanz","fs"
"148","","Kumulierte zusätzliche Abschreibungen","Amortissements supplémentaires cumulés","Ammortamenti supplementari cumulati","Accumulated additional depreciation and amortization","bilanz","fs"
"2","","Passiven","Passif","Passivi","Liabilities and equity","bilanz","fs"
"20","","Fremdkapital","Capitaux de tiers","Capitale di terzi","Liabilities","bilanz","fs"
"200","","Laufende Verbindlichkeiten","Engagements courants","Impegni correnti","Current liabilities","bilanz","fs"
"201","","Kurzfristige Finanzverbindlichkeiten","Engagements financiers à court terme","Impegni finanziari a breve termine","Short-term financial liabilities","bilanz","fs"
"204","","Passive Rechnungsabgrenzungen","Comptes de régularisation passifs","Delimitazioni contabili passive","Accrued expenses and deferred income","bilanz","fs"
"205","","Kurzfristige Rückstellungen","Provisions à court terme","Accantonamenti a breve termine","Short-term provisions","bilanz","fs"
"206","","Langfristige Finanzverbindlichkeiten","Engagements financiers à long terme","Impegni a lungo termine","Long-term financial liabilities","bilanz","fs"
"207","","Verbindlichkeiten gegenüber öffentlichen Haushalten","Engagements envers les administrations publiques","Impegni nei confronti delle amministrazioni pubbliche","Liabilities toward government units","bilanz","fs"
"208","","Langfristige Rückstellungen","Provisions à long terme","Accantonamenti a lungo termine","Long-term provisions","bilanz","fs"
"209","","Zweckgebundene Mittel/Fonds","Fonds affectés","Mezzi/Fondi a destinazione vincolata","Restricted funds","bilanz","fs"
"29","","Eigenkapital","Capital propre","Capitale proprio","Net assets/equity","bilanz","fs"
"290","","Spezialfinanzierungen und Fonds und Eigenkapital","Financements spéciaux et fonds enregistrés sous le capital propre","Finanziamenti speciali e di fondi nel capitale proprio","Special financing and funds in net assets/equity","bilanz","fs"
"292","","Rücklagen der Globalbudgetbereiche","Réserves des domaines de l'enveloppe budgétaire","Riserve dei settori del preventivo globale","Global budget area reserves","bilanz","fs"
"293","","Vorfinanzierungen","Préfinancements","Prefinanziamenti","Advance financing","bilanz","fs"
"294","","Finanzpolitische Reserven","Réserves de politique budgétaire","Riserve di politica finanziaria","Fiscal policy reserves","bilanz","fs"
"295","","Aufwertungsreserve","Réserve liée au retraitement","Riserva di rivalutazione","Restatement reserve","bilanz","fs"
"296","","Neubewertungsreserve Finanzvermögen","Réserve liée à la réévaluation du patrimoine financier","Riserva di nuova valutazione dei beni patrimoniali","Revaluation reserve, non-administrative assets","bilanz","fs"
"298","","Übriges Eigenkapital","Autre capital propre","Rimanente capitale proprio","Other net assets/equity","bilanz","fs"
"299","","Bilanzüberschuss/-fehlbetrag","Excédent/découvert du bilan","Eccedenza/Disavanzo di bilancio","Accumulated surplus/deficit","bilanz","fs"
