"arten","funk","d","f","i","e","dim","model"
"","","Gesamtausgaben","Dépenses totales","Uscite totali","Total expenditure","ausgaben","fs"
"3","","Ausgaben","Dépenses","Uscite","Expenditure","ausgaben","fs"
"30","","Personalausgaben","Dépenses de personnel","Uscite per il personale","Personnel expenditure","ausgaben","fs"
"300","","Behörden, Kommissionen und Richter","Autorités, commissions et juges","Autorità, commissioni e giudici","Authorities, commissions and judges","ausgaben","fs"
"301","","Löhne des Verwaltungs- und Betriebspersonals","Salaires du personnel administratif et d'exploitation","Stipendi del personale amministrativo e d'esercizio","Salaries of administrative and operating personnel","ausgaben","fs"
"302","","Löhne der Lehrpersonen","Salaires des enseignants","Stipendi del corpo docenti","Salaries of teaching staff","ausgaben","fs"
"303","","Temporäre Arbeitskräfte","Travailleurs temporaires","Personale temporaneo","Temporary staff","ausgaben","fs"
"304","","Zulagen","Allocations","Assegni e indennità","Allowances","ausgaben","fs"
"305","","Arbeitgebendenbeiträge","Cotisations de l'employeur","Contributi del datore di lavoro","Employer contributions","ausgaben","fs"
"306","","Arbeitgebendenleistungen","Prestations de l'employeur","Prestazioni del datore di lavoro","Employer benefits","ausgaben","fs"
"309","","Übrige Personalausgaben","Autres dépenses de personnel","Rimanenti uscite per il personale","Other personnel expenditure","ausgaben","fs"
"31","","Sach- und übrige Betriebsausgaben","Dépenses de biens et services et autres dépenses d'exploitation","Uscite per beni e servizi e altre uscite d’esercizio","General, administrative and operating expenditure","ausgaben","fs"
"310","","Material- und Warenausgaben","Dépenses de matériel et de marchandises","Uscite per materiale e merci","Cost of goods and materials","ausgaben","fs"
"311","","Nicht aktivierbare Anlagen","Immobilisations non portées à l'actif","Investimenti non attivabili","Non-capitalized assets","ausgaben","fs"
"312","","Ver- und Entsorgung","Approvisionnement et élimination","Approvvigionamento e smaltimento","Supply and disposal","ausgaben","fs"
"313","","Dienstleistungen und Honorare","Prestations de service et honoraires","Prestazioni di servizi e onorari","Services and fees","ausgaben","fs"
"314","","Baulicher Unterhalt","Travaux d'entretien","Manutenzione edile","Building maintenance","ausgaben","fs"
"315","","Unterhalt Mobilien und immaterielle Anlagen","Entretien des biens meubles et immobilisations incorporelles","Manutenzione di beni mobili e investimenti immateriali","Upkeep of movables and intangible fixed assets","ausgaben","fs"
"316","","Mieten, Leasing, Pachten, Benützungskosten","Loyers, leasing, baux à ferme, frais d'utilisation","Pigioni, leasing, fitti, costi di utilizzazione","Rental, lease, tenancy, user charges","ausgaben","fs"
"317","","Spesenentschädigungen","Remboursement des frais","Indennità per il rimborso spese","Compensation for expenditure","ausgaben","fs"
"318","","Wertberichtigungen auf Forderungen","Réévaluation de créances","Rettificazioni di valore su crediti","Value adjustments on receivables","ausgaben","fs"
"319","","Übrige Betriebsausgaben","Autres dépenses d'exploitation","Rimanenti uscite d'esercizio","Other operating expenditure","ausgaben","fs"
"32","","Rüstungsausgaben","Dépenses d'armement","Uscite per l'armamento","Defense expenditure","ausgaben","fs"
"320","","Rüstungsausgaben","Dépenses d'armement","Uscite per l'armamento","Defense expenditure","ausgaben","fs"
"34","","Finanzausgaben","Dépenses financières","Uscite finanziarie","Financial expenditure","ausgaben","fs"
"340","","Zinsausgaben","Dépenses d'intérêts","Uscite a titolo di interessi","Interest expenditure","ausgaben","fs"
"341","","Realisierte Verluste FV","Pertes réalisées PF","Perdite conseguite beni patrimoniali","Realized losses NAA","ausgaben","fs"
"342","","Kapitalbeschaffung und -verwaltung","Acquisition et administration de capital","Raccolta e gestione di capitale","Capital procurement and administration","ausgaben","fs"
"343","","Liegenschaftenausgaben, FV","Dépenses d'immeubles, PF","Uscite per immobili, beni patrimoniali","Real estate expenditure, NAA","ausgaben","fs"
"349","","Übrige Finanzausgaben","Autres dépenses financières","Rimanenti uscite finanziarie","Other financial expenditure","ausgaben","fs"
"36","","Transferausgaben","Dépenses de transfert","Uscite di riversamento","Transfer expenditure","ausgaben","fs"
"360","","Einnahmensanteile","Parts de recettes","Partecipazioni a entrate","Revenue shares","ausgaben","fs"
"3600","","Einnahmensanteile an Bund","Parts de recettes destinées à la Confédération","Partecipazioni della Confederazione a entrate","Revenue shares for the Confederation","ausgaben","fs"
"3601","","Ertragsanteile an Kantone und Konkordate","Parts de recettes destinées aux cantons et aux concordats","Partecipazioni di Cantoni e Concordati a entrate","Revenue shares for cantons and concordats","ausgaben","fs"
"36010","","Ertragsanteil direkte Bundessteuer","Part des recettes de l'impôt fédéral direct","Partecipazioni a ricavi, imposta federale diretta","Share in direct federal tax revenue","ausgaben","fs"
"36011","","Ertragsanteil Verrechnungssteuer","Part des recettes de l'impôt anticipé","Partecipazioni a ricavi, imposta preventiva","Share in withholding tax revenue","ausgaben","fs"
"36012","","Ertragsanteil Wehrpflichtersatzabgabe","Part des recettes de la taxe d'exemption de l'obligation de servir","Partecipazioni a ricavi, tassa d'esenzione dall'obbligo militare","Share in military service exemption tax revenue","ausgaben","fs"
"36013","","Ertraganteil Eidg. Alkoholverwaltung","Part des recettes de la Régie fédérale des alcools","Partecipazioni a ricavi, Regìa federale degli alcool","Share in Swiss Alcohol Board revenue","ausgaben","fs"
"36014","","Ertraganteil Eidg. Bussen und Taxen","Part des recettes des amendes et taxes fédérales","Partecipazioni a ricavi, multe e tasse federali","Share in revenue from federal fines and duties","ausgaben","fs"
"36015","","Ertraganteil Eidg. Mineralölsteuer","Part des recettes de l'impôt fédéral sur les huiles minérales","Partecipazioni a ricavi, imposta federale sugli oli minerali","Share in federal mineral oil tax revenue","ausgaben","fs"
"36016","","Ertraganteil Eidg. Stempelabgabe","Part des recettes des droits de timbre fédéraux","Partecipazioni a ricavi, tasse di bollo federali","Share in federal stamp duty revenue","ausgaben","fs"
"36017","","Ertraganteil EU-Zinsbesteuerung","Part des recettes de la fiscalité de l'épargne UE","Partecipazioni a ricavi, fiscalità del risparmio UE","Share in EU savings tax revenue","ausgaben","fs"
"36018","","Ertraganteil LSVA","Part des recettes de la RPLP","Partecipazioni a ricavi, TTPCP","Share in mileage-related heavy vehicle charge revenue","ausgaben","fs"
"36019","","Ertraganteil übriger Bundeseinnahmen","Part des autres recettes de la Confédération","Partecipazioni a ricavi, rimanenti entrate della Confederazione","Share in revenue from other federal receipts","ausgaben","fs"
"3602","","Einnahmensanteile Gemeinden und Gemeindezweckverbände","Parts de recettes destinées aux communes et syndicats intercommunaux","Partecipazioni di Comuni e consorzi comunali a entrate","Revenue shares for municipalities and special purpose entities","ausgaben","fs"
"36021","","Gemeindeanteile an kantonalen Steuern","Parts des impôts cantonaux revenant aux communes","Partecipazioni di Comuni alle imposte cantonali","Municipalities' share in cantonal taxes","ausgaben","fs"
"36022","","Gemeindeanteile an Regalien und Konzessionen","Parts des patentes et concessions revenant aux communes","Partecipazioni di Comuni a regalie e concessioni","Municipalities' share in royalties and concessions","ausgaben","fs"
"36023","","Gemeindeanteile an kantonalen Gebühren","Parts des émoluments cantonaux revenant aux communes","Partecipazioni di Comuni a emolumenti cantonali","Municipalities' share in cantonal fees","ausgaben","fs"
"36029","","Gemeindeanteile an übrigen kantonalen Einnahmen","Parts des autres recettes cantonales revenant aux communes","Partecipazioni di Comuni alle rimanenti entrate cantonali","Municipalities' share in other cantonal receipts","ausgaben","fs"
